Date,Open,High,Low,Close,Adj Close,Volume
2025-01-02,243.92,244.18,241.82,243.85,243.85,55740000
2025-01-03,243.36,244.18,242.36,243.36,243.36,40244000
2025-01-06,244.31,247.33,243.20,245.00,245.00,45045000
2025-01-07,245.00,248.00,244.62,247.04,247.04,40856000
2025-01-08,246.40,247.56,243.50,242.70,242.70,37628000
2025-01-09,242.30,243.50,239.30,242.21,242.21,36886000
2025-01-10,242.10,238.74,236.65,236.85,236.85,61711000
2025-01-13,234.66,234.67,229.72,234.40,234.40,49630000
2025-01-14,235.30,236.12,232.47,233.28,233.28,39435000
2025-01-15,234.64,238.96,234.43,237.87,237.87,39831000
2025-01-16,237.35,238.01,228.03,228.26,228.26,71759000
2025-01-17,232.12,232.29,228.48,229.98,229.98,68488000
2025-01-21,224.00,224.42,219.38,222.64,222.64,98070000
2025-01-22,219.79,224.12,219.79,223.83,223.83,64126000
2025-01-23,224.74,227.03,222.30,223.66,223.66,60234000
2025-01-24,224.78,225.63,221.41,222.78,222.78,54697000
2025-01-27,224.02,232.15,223.98,229.86,229.86,94863000
2025-01-28,230.85,240.19,230.81,238.26,238.26,75707000
2025-01-29,234.12,239.86,234.01,239.36,239.36,45486000
2025-01-30,238.67,240.79,237.21,237.59,237.59,55658000
2025-01-31,247.19,247.19,233.44,236.00,236.00,101075000
